trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
660,False,"{'e': 0.0013603680375478928, 'a': 0.4}",25,18,12.838529499141917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'e': 0.0013468321494119735, 'a': 0.4}",20,3,27.485476937428203,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'e': 0.0013334309456133593, 'a': 0.4}",20,0,-3.476607708896772,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
663,False,"{'e': 0.0013201630860205026, 'a': 0.4}",20,11,18.595167415921875,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'e': 0.0013070272438363863, 'a': 0.4}",25,3,36.45723607656859,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'e': 0.001294022105465848, 'a': 0.4}",20,10,17.558395600114263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'e': 0.0012811463703842113, 'a': 0.4}",20,10,19.10667443447112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'e': 0.0012683987510072388, 'a': 0.4}",20,4,23.639559164812244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'e': 0.0012557779725623694, 'a': 0.4}",20,15,6.907056470908927,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'e': 0.0012432827729612404, 'a': 0.4}",20,0,29.58194390458472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
670,False,"{'e': 0.001230911902673481, 'a': 0.4}",20,6,26.372037866719005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'e': 0.0012186641246017523, 'a': 0.4}",30,22,13.950511552926452,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'e': 0.0012065382139580404, 'a': 0.4}",30,16,12.118788076460154,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
673,False,"{'e': 0.0011945329581411752, 'a': 0.4}",20,6,25.475792299969523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'e': 0.0011826471566155727, 'a': 0.4}",25,11,22.852069906598867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'e': 0.0011708796207911744, 'a': 0.4}",30,14,-10.208400277163044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
676,False,"{'e': 0.0011592291739045914, 'a': 0.4}",25,20,9.714587030805596,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'e': 0.0011476946509014253, 'a': 0.4}",30,15,26.94656296091959,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'e': 0.0011362748983197658, 'a': 0.4}",20,12,6.786255534816892,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
679,False,"{'e': 0.0011249687741748374, 'a': 0.4}",20,6,28.17625874831484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'e': 0.0011137751478448032, 'a': 0.4}",25,2,41.992204910430196,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'e': 0.0011026928999577018, 'a': 0.4}",25,14,22.359446117218965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'e': 0.0010917209222795108, 'a': 0.4}",20,12,14.499390760672629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'e': 0.0010808581176033184, 'a': 0.4}",25,13,22.55030746911218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'e': 0.0010701033996396044, 'a': 0.4}",25,12,23.997674677103593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'e': 0.001059455692907609, 'a': 0.4}",20,0,31.675887784997457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
686,False,"{'e': 0.0010489139326277882, 'a': 0.4}",25,8,28.338238711887065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'e': 0.0010384770646153282, 'a': 0.4}",25,18,15.451277251913046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'e': 0.0010281440451747298, 'a': 0.4}",25,1,34.527504609973256,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'e': 0.0010179138409954376, 'a': 0.4}",20,1,27.135307876480734,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'e': 0.0010077854290485105, 'a': 0.4}",20,0,27.39598302733614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
691,False,"{'e': 0.000997757796484312, 'a': 0.4}",20,10,18.258077235131207,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'e': 0.0009878299405312295, 'a': 0.4}",20,11,12.579484502245803,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'e': 0.0009780008683953946, 'a': 0.4}",30,11,34.80648544543098,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'e': 0.0009682695971614017, 'a': 0.4}",25,17,11.340624407484956,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'e': 0.0009586351536940199, 'a': 0.4}",20,6,27.52968515451152,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'e': 0.0009490965745408727, 'a': 0.4}",20,7,20.4946845813947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'e': 0.0009396529058360961, 'a': 0.4}",20,6,24.264854174146112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'e': 0.000930303203204949, 'a': 0.4}",20,2,27.43461138647576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'e': 0.0009210465316693785, 'a': 0.4}",30,12,34.89985013022223,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'e': 0.0009118819655545162, 'a': 0.4}",25,14,20.8919795461129,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'e': 0.0009028085883961136, 'a': 0.4}",20,2,23.818770805278,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'e': 0.0008938254928488927, 'a': 0.4}",25,14,18.863973974401375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
